Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;9;15.6361298841;0.1875;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;7;7.5;8;8.5;9;8.5;9;9.3333333333;9.6666666667;10;10.3333333333;10.6666666667;11;7.25;5.5;5.25;5;4.5555555556;4.1111111111;3.6666666667;3.2222222222;2.9444444445;2.6666666666;2.3888888889;2.1111111111;1.8333333333;1.5555555556;1.3611111111;1.1666666667;0.9722222222;0.7777777778;0.7777777777;0.7777777778;0.7777777777;0.7777777778;1.0555555555;1.3333333334;1.6111111111;3.0555555556;4.5;4.8444444444;5.1888888889;5.5333333333;5.8777777778;6.2222222222;6.3666666667;6.5111111111;6.6555555556;6.8;6.6666666667;6.4166666666;6.1666666667;4.75;3.3333333333;3.0166666667;2.7;2.3833333333;2.0666666667;1.75;1.6333333333;1.5166666667;1.4;2.7;4;4.25;4.5;4.75;5.6666666667;7.5833333333;7.5416666667;7.5;7.4583333333;7.4166666667;7.375;7.3333333333;7.2916666667;5.8333333333;4.375;4.0833333334;3.7916666666;3.5;2.5416666667;0.5833333333;0.5833333333;0.5833333334;0.5833333333;0.5833333333;0.5833333334;0.5833333333;0.5833333333;0.5833333334;0.5833333333;0.5833333333;0.7638888889;0.9444444444;1.125;1.3055555556;1.4861111111;1.6666666666;1.8472222223;2.0277777778;2.2083333333;3.1666666667;4.125;5.0833333333;5.5416666667;6;6.0277777778;6.0555555556;6.0833333333;6.1111111111;6.1388888889;6.1666666667;6.1944444444;6.2222222222;7;6.5;6;5.5;5.5;6;6.75;7.5;8.25;8.3333333333;8.4166666667;8.5;8.75;9
US;331002651;9147420;818959;247.4176558785;0.1638596707;;;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;10.25;10.375;9.5;9.625;6.75;6.475;6.2;6.3;6.4;6.25;5.5;4.25;3;3.125;3.25;3.375;3.5;3.5416666667;3.5833333333;3.625;3.6666666667;3.3333333333;3;6.75;10.5;16.25;39;58.75;89.5;159.25;207;320;430;497;683;1076;1518;2105;2812;2898;4263;6009;8726;13888;19111;25362;33150;43052;53072;64699;82313;99935;119074;137576;158244;182583;205288;230453;257068;283874;303812;323365;343880;363631;380351;395667;405900;415317;419106;420154;423769;424662;425449;420638;418802;416501;411326;407736;407175;409965;412860;411996;409170;406640;405064;403395;404833;405687;405236;400370;398953;396105;389792;380679;373491;365566;361979;359634;353072;351060;342198;338104;331521;330815;327079;325630;323103;320066;316156;317205;317318;314011;311335;306533;305737;305086;305992;301578;302024;298175;294171;295254;296163;293081;291505;290749;293261;293396;294222;295328;295242;297547;300357;305958;312416;318672;328689;337397;350518;367579;381720;398643;418568;435717;455498;476642;498683;524298;550950;572782;585913;609357;623774;648607;672273;695647;718183;735666;755078;773489;795160;811314;834108;852354;870172;882136;898600;903113;915422;920870;926794;933045;928981;926180;924632;928080;918858;914392;909179;894912;878863;871869;853769;844766;829224;818959
US Alabama;4903185;131171;20257;413.1396225107;0.2058910222;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;505;584;690;794;831;945;1031;1165;1351;1456;1658;1801;1904;2086;2263;2381;2495;2719;2875;2895;3036;3112;3098;3075;3041;3057;3112;3096;3009;2864;2946;2745;2765;2811;2729;2674;2628;2779;2888;3000;3054;3116;3120;3389;3430;3507;3510;3623;3775;3949;4058;4089;4046;4061;4091;4163;4221;4342;4371;4550;4721;5086;5226;5342;5607;5836;6132;6277;6266;6107;5953;5824;6105;6173;6195;6026;6146;6535;6887;7242;7712;7909;8270;8461;9134;9615;9506;9521;9529;9675;10075;10361;10473;10482;9826;10903;11133;11650;11905;12863;13313;13932;14424;14688;14898;15968;16325;16864;18146;18370;19210;20105;20977;21226;22372;23058;24013;24573;24851;25038;25497;26183;25707;25570;25111;24715;24674;24632;24115;24433;23770;23344;22841;22380;22296;20257
US Alaska;731545;1477953;1505;205.7289708767;0.3441573291;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;6;9;12;14;22;29;36;41;58;68;83;100;111;116;127;134;145;157;163;162;177;184;176;177;172;170;163;166;160;157;152;143;134;130;116;109;102;93;83;69;68;66;62;59.5;55;51;49;49;42;37;37;38;38;38;36;32;30;27.5;24;27;28;29;29.5;30;29;27;30;29.5;28;28;27;38;42;42;54.5;68;86.5;103;110;120;128;135.5;154;162;181;186;195;220;210.5;197;189;191;195;198;207;211;198;205;199;205;211;200;222;240;264;282;309;341;368;383;400;406;434;456;487;531;596;635;639;653;1015;1018;1048;1139;1253;1341;1393;1412;1425;1483;1623;1667;1771;1811;1527;1596;1668;1707;1650;1600;1564;1539;1540;1505
US Arizona;7278717;294207;26066;358.1125629695;0.1400592132;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5.3333333333;5.6666666667;6;9;10;11;12;15;18;20;26;42;62;99;146.6666666667;259.3333333333;351;441;567;723;858;902;1137;1265;1384;1554;1704;1915;2117;2191;2218;2276;2441;2376;2520;2620;2545;2517;2549;2636;2738;2700;2660;2608;2676;2733;2751;2933;2887;2987;3014;3142;3240;3414;3455;3645;3711;3855;4054;4248;4176;4481;4680;4593;4664;4788;4974;5026;5207;5267;5297;5251;5261;5190;5370;5082;5079;5220;5181;5047;5086;5089;5296;5624;5999;5953;6684;7336;7438;8724;9412;10550;11117;11513;12590;13501;14453;15203;15755;16582;17847;18691;20690;22357;24347;25501;26908;29883;30122;31766;33630;35593;38217;37828;40118;43168;43982;45169;44755;45699;46855;46915;48640;49641;50344;49879;48559;49291;48882;47262;47188;46665;46712;45535;43742;43589;41995;40273;39409;40111;39547;40003;37837;36919;36185;35487;35737;34843;34314;31822;31594;30703;28752;26066
US Arkansas;3017804;134771;10103;334.7798597921;0.2103082912;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;27.5;33;46;96;118;165;174;218;278;329;372;392;410;451;495.5;551;597;608;625;665;701;728;720;784;790;822;854;937;957;985;977;991;996;951;1048;1281;1276;1346;1570;1603;1661;1607;1631;1623;1635;1626;1633;1650;1535;1269;1292;1146;953;918;949.5;1017;1053;1008;981;1142;1206;1328;1355;1427;1435;1847;1918;2020;2031.5;1995;2016;2077;2302;2312.5;2435;2494;2630;2832;3064;2901;3039;3334;3504;3711;3900;4091;4278;4771.5;5011;5248;5474;5436;5539;5569;5980;6041;6186.5;6343;6598;7007;7246;6854;6716;6809;7340;7586;7591;8147;7991;8067;8118.5;8170;7834;7907;7990;8402;8845;9057;8682;8956;9100;9039;9140;8938.5;8802;9674;10143;9964;10207;10446;10351;10256;10508;10448;10671;10645;10749;11025.5;11352;10670;10726;11047;10769;10790;10103
US California;39512223;403466;100387;254.0656849401;0.1839307276;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;56.5;60;69;88;114;133;157;198;223;247;288;329;472;558;867.5;1003;1210;1448;1619;1969;2198;2804;3652;4391;5415;6112;6999;7544;8267;9638;10747;11902;12603;13763;14602;15303;15593;15972;16086;15901;15856;16269;16991;16827;16937;16895;16642;17396;18439;19060;19782;20522;20370;21116;21693;22076;22735;22914;23234;23283;23959;22951;23419;23245;23258;23424;24516;24475;24351;24641;24247;24494;24596;25223;25493;25583;25242;25583;25932;26070;26030;26619;27351;27839;28533;28950;30085;31744;32576;33515;33630;33610;34457;35385;36102;36761;36756;37211;37584;38097;38765;38272;38446;38250;39328;41292;42515;43293;45012;46735;49584;54031;56290;58478;60790;62388;67800;75172;79124;81448;82819;88079;92161;93630;94701;99246;100928;103836;105911;109561;109910;107776;111495;113631;117929;117975;118707;119854;122995;124108;129117;131037;133056;132855;131388;130042;127671;129324;127424;124767;124470;123363;118658;111146;104364;103082;100387
US Colorado;5758736;268431;6913;120.0437040351;0.1385565109;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8.5;9;12;28;45;72;100;130;144.5;159;181;214;274;355;466.5;582;708;884;1041;1358;1633;1930;2481.5;2636.5;2783;3126;3451;3810;4090;4359;4452;4517;4569;5080;4967.5;4832;5057;4894.5;4975;4938;4947;4874;4868;4780;4934;5018;5223;4752;5554.5;6075;5757;6188;6794;6478;6609;6721;6792;6905;6801;6917;6952;7539;6571;6735;6458;6000;5422;5717;5554;5464;5408;5303;5295;5118;4967;4390;4660;4261;4275;4390;4408;4292;4283;4381;4465;4440;4375;4306;4263;4169;4128;3884;3827;3914;3782;3732;3526;3209;2919;2752;2722;2654;2613;2541;2572;2501;2538;2522;2546;2656;2832;2974;3005;3177;3212;3273;3356;3451;3432;3517;3526;3552;3771;3961;4046;4395;4569;4606;4731;4971;5126;5374;5725;5922;6077;6309;6395;6582;6789;6789;7198;7423;7323;7628;7641;7478;7465;7479;7574;7402;7335;7290;7122;6913
US Connecticut;3565287;12542;1475;41.3711434732;0.0293124006;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;6;8.5;11;20;26;41;68;95;191;204.5;218;405;606;856;991;1264;1615;1959;2535;3059;3472;3712;4720;5067.5;5452;6491;7163;7907.5;8772;9247;9868;10042;10810;10861;11198;12060;11895;11903.5;11875;12909;12579;13686.5;13316;13383;13072;13234;12409.5;12323;12012;11816;11955;11846;11737;10139;10261;8526;8684;8490;8402;8285;7974.5;8021;8088;7764;7321;7677.5;8132;8162;7809;8022;7424;7229;7038;6914;7108;6970;6433;6095;5677;5319;4782;4624;4549;4074;4031;3820;3796;3500;3219;2876;3059;2902;2927;2972;2887;2495;2370;2338;2201;2097;1897;1787;1690;1720;1566;1533;1370;1212;1215;1127;1165;1143;1206;1160;1088.3333333333;1134.6666666667;1194;1134;1195;1215;1228;1155.3333333333;1132.6666666667;1148;1016;1064;1104;1176;1143.6666666667;1111.3333333333;1079;1063;1115;1023;1489;1483.6666666667;1478.3333333333;1473;1547;1904;1920;1917;1947;1977;2007;2014;2002;2013;1544;1475
