Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marshall Islands (World List);59190;180;2;3.3789491468;0.5;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Northern Mariana Islands;57559;460;99;171.9974287253;0.9519230769;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-2;-2;-2;-2;0;0;0;0;4;6;6;6;6;6;6;9;9;9;9;9;9;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;13;13;13;14;14;17;17;17;17;17;19;19;19;19;19;20;20;20;20;20;20;20;20;20;20;20;20;21;21;24;24;24;25;26;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;29;29;29;29;29;29;29;29;29;31;31;31;34;34;35;35;35;35;36;36;36;36;37;38;38;38;38;40;40;40;43;44;44;44;45;45;46;46;47;47;47;47;48;48;48;51;52;52;52;53;53;53;53;53;53;54;54;54;54;55;55;55;56;56;56;56;57;57;57;58;58;58;59;59;59;60;60;62;64;66;67;67;67;68;68;68;68;69;69;70;70;71;72;72;73;73;74;74;75;75;76;76;77;77;78;78;84;85;85;86;87;87;88;89;89;90;91;91;92;93;93;94;94;95;95;96;96;97;97;98;98;99;99;99
US;331002651;9147420;10485952;3167.9359571051;0.8011380093;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;5;5;5;6;6;8;8;8;11;11;11;12;12;12;12;12;13;13;14;14;13;13;8;7;3;2;2;-1;-5;-6;-12;-17;-26;-34;-33;-38;-42;-58;-84;-80;-128;-61;-55;-168;-221;-182;-155;-40;86;-272;499;1240;2717;5708;10682;15136;22398;31853;39895;49816;65437;81890;99373;116437;136581;160443;183723;211941;241818;272864;299130;327123;355991;385748;417864;449189;476794;502387;526731;553054;580692;609677;640469;666709;691295;718397;742158;769128;800388;832387;862417;888361;910546;933593;959655;987368;1019944;1046436;1070138;1092353;1115337;1138908;1165433;1190937;1214751;1233006;1251876;1273937;1293392;1319367;1343467;1366529;1384155;1405365;1425371;1447439;1472299;1494704;1515110;1534615;1552465;1570986;1588620;1610634;1634069;1657112;1675836;1692381;1712949;1732224;1752884;1777571;1798370;1815739;1832847;1850366;1870561;1893058;1917351;1942117;1960858;1979936;2002981;2028788;2055935;2086257;2117905;2143584;2173899;2208900;2242463;2281821;2326353;2367019;2406967;2446656;2491716;2542232;2596870;2647778;2692465;2741592;2785230;2844884;2903404;2964879;3031608;3090756;3149358;3207034;3273092;3339296;3415182;3485612;3546972;3607277;3668216;3731073;3801620;3868888;3940853;4005146;4059494;4114914;4179631;4249957;4316492;4383060;4439866;4485563;4529684;4585636;4638738;4697141;4754352;4807816;4853731;4902020;4947715;5003283;5053921;5117713;5163525;5204394;5240316;5284288;5330607;5373627;5420910;5463792;5497839;5534048;5573581;5617919;5662132;5707848;5752492;5786893;5821667;5862056;5902020;5944935;5994134;6036559;6067829;6090949;6116823;6149616;6184765;6231265;6271494;6305517;6339066;6377539;6415057;6459128;6506950;6548740;6586835;6637911;6676691;6714342;6759088;6806200;6849876;6886734;6918645;6960644;7000839;7045316;7098813;7146742;7182406;7220856;7263871;7313357;7370836;7425879;7478950;7524406;7564618;7616529;7674995;7738386;7805807;7861797;7910685;7977159;8036676;8098612;8172797;8252589;8334368;8395656;8461547;8536167;8613438;8702397;8799758;8887382;8962317;9045067;9167993;9268969;9393172;9516963;9643534;9752520;9872973;10008521;10149772;10309788;10485952
US Alabama;4903185;131171;210045;4283.8481517626;0.864831147;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-2;3;8;22;23;20;36;46;81;93;117;159;217;432;507;605;713;760;871;956;1100;1288;1434;1642;1801;1942;2175;2572;2763;2979;3309;3512;3634;3868;4076;4251;4367;4547;4729;4918;5125;5429;5457;5749;5877;6098;6258;6393;6552;6682;6949;7237;7536;7781;8064;8369;8684;9021;9226;9447;9735;10036;10378;10611;10905;11140;11440;11725;12091;12454;12887;13249;13635;14012;14667;15099;15555;16054;16586;17129;17589;17857;18061;18262;18565;19205;19661;20084;20558;21098;21949;22803;23682;24691;25343;25962;26340;27221;27996;28542;29005;29430;30064;31006;32138;33079;33969;34320;36051;36881;37751;38881;40600;41576;42666;43587;44482;45598;47777;49070;50491;52114;54054;55740;57529;59523;61511;63631;65384;67258;68692;70118;72498;74270;76378;77526;79318;80519;81900;83872;85830;87453;89546;90736;91766;92710;94618;96311;96376;99321;100996;101814;102741;103481;104202;105428;106271;106822;108161;109261;110216;110504;112257;112784;114433;114965;116969;118722;119852;121539;122884;123703;125229;125847;126884;127965;129366;129876;130534;131149;131929;133059;134195;135136;136242;136944;137643;138547;139209;140313;141606;142403;143221;144004;144552;145569;148005;148927;149656;150318;150868;151995;152988;153912;155592;156380;156924;157672;158594;159132;160606;161660;162467;163193;164301;165066;166248;167442;168695;169653;170505;171541;172790;174038;177867;180194;181271;182220;183317;184505;185936;187265;189039;190737;191643;192628;194430;195739;197263;199025;200229;201398;203095;205105;207065;210045
US Alaska;731545;1477953;21167;2893.4652003636;0.7162143872;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-2;-2;-3;0;5;8;11;10;19;32;36;42;56;67;83;102;110;119;132;140;151;162;176;182;204;217;226;237;248;263;268;276;284;291;300;305;310;312;320;325;327;329;330;331;335;341;345;350;354;355;358;360;361;362;364;367;368;369;371;373;374;379;380;384;388;391;393;394;395;396;400;401;401;402;403;416;420;423;451;458;478;496;506;517;529;537;555;566;586;604;616;642;651;654;667;687;699;714;734;745;751;766;780;804;822;841;870;891;927;965;1003;1048;1096;1123;1150;1168;1207;1254;1304;1366;1458;1516;1558;1609;1672;1714;1775;1858;1930;2020;2114;2178;2235;2322;2507;2601;2709;2776;2860;2966;3109;3245;3303;3363;3418;3458;3512;3590;3686;3754;3799;3859;3941;4041;4125;4226;4276;4340;4413;4495;4564;4650;4716;4787;4820;4872;4956;5071;5163;5206;5242;5277;5343;5431;5549;5636;5731;5765;5798;5863;5977;6060;6162;6219;6294;6336;6386;6494;6600;6694;6802;6871;6928;7004;7134;7259;7378;7487;7600;7722;7825;7961;8101;8239;8380;8575;8722;8843;8977;9163;9393;9643;9833;9989;10143;10303;10520;10729;10938;11141;11371;11594;11832;12079;12434;12951;13300;13687;14035;14384;14761;15214;15564;15908;16290;16697;17010;17516;18119;18629;19086;19618;20103;20583;21167
US Arizona;7278717;294207;262989;3613.123027039;0.825353536;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;4;3;3;1;3;1;-4;-3;-5;-2;-4;-1;12;24;52;88;200;284;370;488;639;765;804;1035;1158;1271;1448;1600;1842;2085;2269;2367;2497;2769;2846;3122;3264;3418;3513;3658;3914;4177;4371;4567;4685;4856;5033;5319;5528;5748;5990;6174;6386;6608;7024;7311;7685;7960;8233;8601;8960;9182;9751;10161;10319;10574;10929;11345;11817;12284;12728;13031;13253;13625;13916;14319;14596;14997;15295;15514;15713;16167;16636;17321;18072;18750;18929;20031;20994;21482;23020;24113;25550;26336;26912;28389;29774;31383;32879;34103;35095;37465;39204;41686;44901;47993;50581;52776;56252;58011;60992;64466;67900;71671;72288;76878;81658;84933;89275;91823;95328;98657;102176;105640;109608;113750;116644;119162;120467;124689;127900;130987;134829;137518;139859;141404;144838;146677;148942;152220;155904;157864;159673;161735;163926;166415;169587;172510;173961;174979;175976;177569;178963;180365;181351;182152;182741;183945;184547;185865;186743;187647;188507;188968;189876;190492;191150;191728;192688;192882;193183;194032;194208;194866;195370;195972;196339;196502;196998;197490;198544;199230;200049;200290;200486;200547;201016;201443;201936;202506;202889;203097;203577;204257;205986;207249;207846;208312;208544;209133;209551;210109;210621;211067;211475;211746;212417;212735;213423;213957;214575;214927;215240;216097;216684;217542;218219;219109;219701;220175;220843;221730;222830;223552;224428;225168;225915;226917;227853;228819;229773;230625;231999;232786;233930;234937;236240;237788;239646;241171;241832;243506;244268;246384;248337;250927;252800;253209;256618;258639;259994;262989
US Arkansas;3017804;134771;127882;4237.5846807811;0.8321479467;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;3;6;7;10;15;14;23;34;84;104;149;158;202;262;314;358;380;399;443;493;551;606;667;705;790;833;903;957;1074;1126;1179;1231;1360;1428;1510;1559;1631;1666;1705;1842;2144;2191;2378;2653;2739;2849;2923;3016;3096;3158;3223;3273;3332;3358;3394;3461;3501;3581;3632;3775;3917;4045;4080;4113;4338;4445;4624;4675;4783;4861;5311;5460;5613;5767;5874;6019;6112;6367;6600;6835;7074;7261;7565;7870;8151;8437;8877;9200;9513;9843;10128;10573;11301;11775;12242;12652;12921;13329;13649;14350;14856;15324;15791;16381;17074;17753;18088;18423;18989;19934;20446;20862;21734;22269;22854;23374;23887;24138;24902;25666;26409;27187;27966;28531;29305;29863;30672;31309;31688;32065;33452;34165;34738;35744;36728;37403;38079;38892;39615;40394;41177;41924;42573;43283;43994;44762;45662;46387;47376;48037;48696;49332;49700;50382;51027;51636;51757;51881;52280;52673;53375;53904;54779;55317;55680;55986;56457;57095;57805;58630;59409;59875;60232;60487;60955;62338;63505;64049;64572;65083;65548;66026;66557;67717;68425;68911;69298;70007;70850;71827;72691;73753;74298;74917;75516;76481;77546;78418;79203;79673;80463;81144;82063;83176;84114;84841;85309;85716;86343;87129;88373;89401;90423;91021;91654;92310;93371;94630;95639;96497;97111;97612;98438;99570;100761;102079;103250;104030;104619;105567;106514;107568;108726;110024;110733;111416;112274;113537;115063;116909;118491;119509;120424;121830;123772;125570;127882
US California;39512223;403466;979469;2478.9012756888;0.8362067199;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;-4;-5;-5;-6;-11;40;39;40;45;61;87;93;104;137;149;151;170;202;330;440;721;826;1003;1217;1390;1728;1913;2514;3338;4034;5057;5760;6724;7334;8301;9716;10954;12272;13128;14597;15603;16840;17910;18964;20084;20593;21529;22537;24200;25455;26792;28118;28724;30944;32984;34865;36669;38459;39419;40694;42184;43566;45885;47334;48993;50355;51635;52878;55379;57072;58882;60853;62906;64144;65568;67257;69191;70868;72637;74626;76179;77509;79696;81775;83959;86072;88084;89905;92036;94204;96816;98943;101889;105520;107917;110189;112479;114517;117541;120592;123317;125804;127909;130559;133548;136171;139771;142950;145516;147580;150925;154936;159153;162996;167493;171717;176625;183660;188860;193610;199488;204226;212212;221645;228912;235202;240760;249793;258300;263990;270019;281598;288472;296111;304007;312388;320717;327990;338919;347269;357159;366139;375336;382150;391268;403873;415747;425323;435211;443366;450191;456082;464657;474694;482592;488983;497938;503659;508085;513199;518294;526595;533799;542026;549759;562154;573649;580591;588385;600855;608657;615098;619649;625668;631424;636846;643249;649960;654889;659337;665258;669551;674769;679588;685580;689700;693346;697437;702456;707471;712327;717157;720217;722840;724323;727551;730793;734766;739336;742170;744373;747171;750313;753845;758061;762280;765545;768147;771242;774279;777612;781737;785744;788691;790844;793986;796930;800447;802537;806786;809814;811469;814198;817611;821344;825465;829234;832671;835006;837597;840860;843905;846829;849650;853119;856391;860032;862909;868999;874871;880066;883033;886197;890643;894796;898781;903787;908281;912365;916373;921650;926110;932537;938314;945963;953125;958449;965807;972630;979469
US Colorado;5758736;268431;151517;2631.0808482973;0.6857431218;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-2;0;0;4;3;3;5;17;26;48;70;87;99;109;114;136;180;252;349;451;570;733;893;1204;1484;1787;2017;2319;2637;2985;3354;3782;4154;4528;4723;4943;5147;5650;5836;6216;6623;6985;7205;7514;7898;8227;8601;8888;9255;9544;9957;10318;11295;12001;12470;12892;13307;13696;14193;14675;15130;15538;15808;16263;16727;17267;17721;18267;18593;18767;19043;19340;19670;20051;20451;20754;21017;21254;21543;21936;22213;22684;22888;22977;23253;23439;23782;24265;24742;25013;25204;25400;25658;25943;26186;26416;26566;26745;26892;27042;27172;27340;27526;27631;27791;27922;28152;28380;28661;28817;29002;29163;29350;29611;29898;30210;30435;30719;30922;31121;31428;31737;31998;32240;32433;32620;33021;33472;33880;34530;34928;35247;35574;36007;36467;37035;37648;38087;38437;38856;39345;39981;40585;41244;42050;42593;42819;43563;44040;44441;45041;45496;45941;46190;46606;47188;47621;48076;48504;48838;49215;49615;49921;50380;50695;50993;51329;51521;51778;52044;52369;52720;53016;53276;53473;53932;54111;54454;54883;55149;55330;55530;55870;56111;56376;56742;57076;57360;57573;57748;57989;58250;58552;58965;59381;59754;60147;60726;61183;61782;62383;62879;63416;64066;64679;65220;65928;66509;67075;67484;68016;68511;69189;69856;70510;71028;71486;72131;72856;73715;74543;75564;76381;76955;77997;78683;79823;81125;82257;83183;84248;85448;86702;88064;89404;91228;92914;95121;96532;97990;99780;102181;105095;107644;109871;112410;115313;118656;122114;125578;128562;132081;135961;139881;145078;151517
