Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;2;3.4746955298;0.0869565217;0.0888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
US;331002651;9147420;106180;32.0782929319;0.0579641788;0.0624891124;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;22;28;36;42;50;60;74;100;134;165;259;350;442;587;786;1011;1320;1726;2269;2744;3420;4196;5367;6511;7938;9260;10870;12375;13894;16191;18270;20288;22357;24366;26086;27870;30262;32760;34844;37428;39775;40945;42686;45086;47412;49724;51493;53755;54881;56219;58355;60967;62996;64943;66369;67682;68922;71064;73455;75662;77180;78795;79526;80682;82356;84119;85898;87530;88754;89562;90347;91921;93439;94702;95978;97086;97719;98219;98912;100417;101616;102809;103776;104381;105149;106180
US Alabama;4903185;131171;651;13.277084181;0.0349211458;0.0410907025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;6;13;26;32;35;43;45;50;56;66;74;80;91;93;99;110;121;133;144;146;154;167;177;194;197;197;212;216;222;242;245;269;279;288;290;296;313;340;349;375;388;393;401;429;449;467;476;485;488;489;504;517;529;537;546;551;562;575;581;590;605;618;631;646;651
US Alaska;731545;1477953;10;1.3669699062;0.0205338809;0.0242718447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;3;3;3;5;6;6;6;7;7;7;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
US Arizona;7278717;294207;941;12.9281025763;0.0442823529;0.0545128027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;2;2;5;6;8;13;15;17;20;24;29;32;41;52;64;65;73;80;89;97;108;115;122;131;142;150;169;177;184;187;208;229;249;266;266;275;275;293;304;320;330;348;362;362;395;426;450;517;532;536;542;562;594;624;651;679;680;686;704;747;763;775;799;800;806;807;831;857;885;903;906;917;941
US Arkansas;3017804;134771;133;4.4071781998;0.0178691388;0.0211884658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;3;3;5;6;7;8;10;12;12;14;16;16;16;18;21;23;24;27;30;30;33;37;37;38;40;42;43;42;45;45;47;49;50;52;59;61;64;73;76;81;83;85;87;88;88;88;94;95;95;97;98;98;98;100;102;107;110;113;113;116;117;119;120;120;125;133;133;133;133
US California;39512223;403466;4286;10.8472762973;0.0371693695;0.0433016771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;5;6;11;13;18;20;24;27;27;40;53;65;78;101;123;133;153;171;203;237;276;319;343;374;442;492;541;609;651;687;758;821;890;985;1072;1166;1208;1268;1354;1469;1562;1651;1710;1755;1809;1887;1982;2073;2171;2215;2254;2317;2412;2504;2585;2678;2745;2770;2847;2934;3032;3108;3204;3261;3302;3334;3436;3542;3630;3708;3774;3795;3814;3884;3973;4068;4156;4213;4251;4286
US Colorado;5758736;268431;1458;25.3180559067;0.054859465;0.0593527376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;4;5;6;7;11;19;24;31;44;51;51;69;80;97;111;126;140;150;179;193;250;250;274;304;308;329;357;374;391;411;422;449;486;508;552;674;672;680;706;760;766;777;820;832;842;851;903;921;961;960;967;981;987;1009;1062;1091;1150;1192;1215;1224;1257;1299;1310;1324;1327;1332;1333;1352;1392;1421;1436;1443;1445;1458
US Connecticut;3565287;12542;3972;111.4075809325;0.092417227;0.0958702421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;4;5;10;12;19;21;27;27;34;36;69;85;112;131;165;189;206;277;277;380;448;494;554;602;671;868;971;1036;1036;1086;1331;1423;1544;1639;1764;1862;1924;1998;2089;2168;2257;2339;2339;2436;2495;2633;2718;2797;2874;2932;2967;3008;3041;3125;3219;3285;3339;3408;3449;3472;3529;3582;3637;3675;3693;3742;3769;3769;3826;3868;3912;3944;3964;3972
US Delaware;973764;5047;373;38.3049691712;0.0385131647;0.0410070361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;2;3;6;6;10;11;12;14;14;14;14;16;16;23;23;33;33;35;41;46;52;61;61;67;72;82;89;92;100;112;120;125;137;144;152;159;168;177;182;187;193;202;213;221;224;225;237;247;260;271;286;290;297;304;310;317;322;324;326;332;335;344;345;356;361;366;368;373
