Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;57559;460;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US;331002651;9147420;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Alabama;4903185;131171;1671;34.0798888885;0.1085346843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212;231;240;271;314;333;368;402;437;457;493;525;553;594;620;641;641;699;730;768;768;839;845;872;911;945;978;1008;1023;1035;1064;1107;1158;1178;1207;1228;1240;1256;1287;1317;1350;1377;1387;1392;1416;1453;1493;1528;1561;1589;1612;1629;1671
US Alaska;731545;1477953;36;4.9210916622;0.0875912409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;3;3;5;6;7;7;9;9;15;16;20;23;23;27;27;28;31;31;32;32;34;35;36;36;36;36;36;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Arizona;7278717;294207;1988;27.3125057617;0.1184531967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;984;1022;1037;1051;1095;1131;1169;1203;1339;1348;1357;1397;1430;1449;1482;1514;1528;1537;1564;1590;1636;1629;1683;1699;1717;1746;1792;1830;1879;1930;1945;1961;1988
US Arkansas;3017804;134771;617;20.4453304456;0.0998381877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;100;105;106;130;137;148;130;130;130;130;130;130;130;130;;;291;291;291;291;291;291;291;291;291;;;389;402;414;414;427;438;453;453;462;466;471;471;480;485;497;509;520;520;520;530;535;535;535;584;590;598;605;617
US California;39512223;403466;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Colorado;5758736;268431;4128;71.6823969704;0.170093535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;49;58;72;84;148;184;239;274;414;414;509;620;710;823;875;924;994;1079;1162;1312;1312;1376;1472;1493;1556;1636;1693;1755;1797;1813;1880;2003;2123;2237;2366;2410;2438;2485;2610;2621;2697;2747;2793;2799;2838;2919;2986;3557;3600;3623;3689;3663;3695;3735;3789;3842;3866;3872;3899;3955;3990;4037;4082;4105;4119;4128
US Connecticut;3565287;12542;12538;351.6687436383;0.3035614846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7758;7758;7758;7758;7758;7758;9389;9389;9389;9389;9389;9389;9389;10946;10946;10946;10946;10946;10946;10946;10946;12538;12538;12538;12538;12538
